Date,topic_coherence,topic_coherence_diff,recon_ratio
29/04/2013,0.817452621,0.851712704,0.006633947
30/04/2013,0.734565258,0.909219265,0.003526724
01/05/2013,0.69414959,0.862589836,0.006528852
02/05/2013,0.736540031,0.82966882,0.002924801
03/05/2013,0.707011318,0.89232415,0.006332434
06/05/2013,0.684750414,0.802765071,0.007363829
07/05/2013,0.733049965,0.86044991,0.003462475
08/05/2013,0.756923485,0.862464249,0.007254077
09/05/2013,0.836114502,0.866375923,0.006528689
10/05/2013,0.690343666,0.893361926,0.006213188
13/05/2013,0.777838326,0.840462565,0.007031369
14/05/2013,0.743135071,0.885480881,0.003427451
15/05/2013,0.727028275,0.884301782,0.005724163
16/05/2013,0.716323137,0.868968308,0.006425165
17/05/2013,0.745255852,0.862436652,0.00592917
20/05/2013,0.805404091,0.859421372,0.008079318
21/05/2013,0.734829903,0.891388535,0.002246096
22/05/2013,0.652910233,0.861638069,0.006116974
23/05/2013,0.726384068,0.840980053,0.006069587
24/05/2013,0.734395123,0.854442,0.00569458
28/05/2013,0.833359337,0.866394877,0.009021268
29/05/2013,0.775254059,0.885739505,0.005224511
30/05/2013,0.771251011,0.895977795,0.008230451
31/05/2013,0.778753471,0.883657336,0.007650016
03/06/2013,0.672929573,0.886211991,0.008495892
04/06/2013,0.808198547,0.823911488,0.004223642
05/06/2013,0.699277782,0.91235894,0.006925178
06/06/2013,0.619565582,0.838045478,0.004611223
07/06/2013,0.675722504,0.812624097,0.004780444
10/06/2013,0.705445576,0.83838433,0.00663701
11/06/2013,0.608991528,0.8539626,0.003227872
12/06/2013,0.686385393,0.856605172,0.00556524
13/06/2013,0.739078951,0.858443081,0.006930402
14/06/2013,0.660380173,0.864546955,0.005328229
17/06/2013,0.792973328,0.848186135,0.00828411
18/06/2013,0.781856632,0.886959672,0.005494717
19/06/2013,0.740264893,0.902436733,0.00833597
20/06/2013,0.59351387,0.810303211,0.006094085
21/06/2013,0.771619034,0.799219906,0.003939451
24/06/2013,0.672003269,0.902311802,0.008319052
25/06/2013,0.681882,0.876300812,0.003161393
26/06/2013,0.671368408,0.83875668,0.003397798
27/06/2013,0.69234004,0.873569846,0.005697909
28/06/2013,0.660083818,0.855705082,0.006812214
01/07/2013,0.60214901,0.796381891,0.006944683
02/07/2013,0.712320137,0.870860577,0.002984298
05/07/2013,0.678185558,0.884724021,0.008382757
08/07/2013,0.656332541,0.874636054,0.003991385
09/07/2013,0.685697365,0.83335495,0.003186992
10/07/2013,0.659724092,0.89158231,0.007381373
11/07/2013,0.716620111,0.858358741,0.007407885
12/07/2013,0.755681229,0.822484612,0.004616456
15/07/2013,0.707967758,0.871598899,0.007248828
16/07/2013,0.665665674,0.840126216,0.003921627
17/07/2013,0.729393005,0.853147388,0.006762667
18/07/2013,0.789802742,0.895975709,0.006402805
19/07/2013,0.655917788,0.866976738,0.003916448
22/07/2013,0.798950195,0.81079042,0.007612699
23/07/2013,0.662411308,0.875641346,0.004143203
24/07/2013,0.649280262,0.863050461,0.007234108
25/07/2013,0.741594505,0.810309291,0.003880188
26/07/2013,0.725928211,0.858057141,0.006566938
29/07/2013,0.803176689,0.851384282,0.009309711
30/07/2013,0.811499023,0.892965615,0.00488371
31/07/2013,0.584865952,0.884262443,0.007240965
01/08/2013,0.63301115,0.789945364,0.004113573
02/08/2013,0.742087364,0.812395215,0.004300588
05/08/2013,0.82301712,0.852995753,0.008469505
06/08/2013,0.698134804,0.900015712,0.00240515
07/08/2013,0.695339012,0.860238254,0.005008074
08/08/2013,0.758638525,0.880804896,0.008229073
09/08/2013,0.74044261,0.900958896,0.008084527
12/08/2013,0.73912158,0.838011444,0.009767375
13/08/2013,0.64991951,0.856968224,0.002859258
14/08/2013,0.711056423,0.81776619,0.004515095
15/08/2013,0.746424532,0.896921277,0.008585336
16/08/2013,0.73735466,0.926647007,0.007095423
19/08/2013,0.776096344,0.875640213,0.009532512
20/08/2013,0.738197517,0.922053814,0.004634404
21/08/2013,0.719849014,0.884503543,0.007011315
22/08/2013,0.667959404,0.905865669,0.004825503
23/08/2013,0.698406219,0.842631817,0.005291364
26/08/2013,0.778801155,0.822873116,0.007604856
27/08/2013,0.746561432,0.925958157,0.004344004
28/08/2013,0.725284767,0.890737176,0.005992142
29/08/2013,0.717852211,0.931124985,0.005974831
30/08/2013,0.737179852,0.915434182,0.006393758
03/09/2013,0.753395653,0.888629317,0.007298397
04/09/2013,0.761066914,0.925054252,0.003173772
05/09/2013,0.678096056,0.902854264,0.005627224
06/09/2013,0.688308764,0.877567589,0.006700178
09/09/2013,0.713409233,0.876032531,0.009036823
10/09/2013,0.690367985,0.907284081,0.004497817
11/09/2013,0.689287949,0.902950883,0.004812896
12/09/2013,0.708311987,0.905463398,0.006082771
13/09/2013,0.658031464,0.900880158,0.007254414
16/09/2013,0.677772331,0.900077641,0.007860009
17/09/2013,0.712783861,0.901965737,0.004029487
18/09/2013,0.771537209,0.85420835,0.007690882
19/09/2013,0.778210783,0.885757565,0.007099236
20/09/2013,0.679842806,0.87937367,0.004349816
23/09/2013,0.690694189,0.8450104,0.006999183
24/09/2013,0.673252106,0.881782651,0.003313495
25/09/2013,0.74580307,0.876127899,0.004917359
26/09/2013,0.726725197,0.882149816,0.007388234
27/09/2013,0.746429157,0.868418515,0.006015776
30/09/2013,0.685184765,0.880968213,0.007136446
01/10/2013,0.77479229,0.913065076,0.004818178
02/10/2013,0.718037033,0.919764817,0.005647993
03/10/2013,0.753104496,0.89669162,0.004671544
04/10/2013,0.728280258,0.908180833,0.004588428
07/10/2013,0.768858337,0.850194454,0.007665242
08/10/2013,0.740696239,0.920202851,0.004056816
09/10/2013,0.756628036,0.86939013,0.005928397
10/10/2013,0.700009537,0.929089546,0.006329164
11/10/2013,0.710569382,0.886912227,0.004000919
